contribution_id,type,timestamp,user_id,user_creation_ts,industry,company_country,company_id,company_creation_ts,creator_user_id,referral_source,landing_page
11,deleted,12/9/2020 5:38:51,02075d98-2820-429c-a4e0-749bf131f41c,12/9/2020 5:38:20,Information Technology and Services,United States,b0fd31fc-2b7e-4814-a2e6-5ed4338b2563,9/24/2018 17:17:52,ab97a6b1-3486-4d16-885b-97e673a66cfd,linkedin_organic,org_chart
12,updated,12/28/2020 2:05:47,d7048dd1-3cd1-4dcd-922b-07523eae3657,12/28/2020 2:03:21,Information Technology and Services,United States,e7252828-f4c9-4111-9c95-eea581d1f1cc,2/14/2020 11:10:41,,google_organic,position_page
13,updated,12/28/2020 2:05:05,d7048dd1-3cd1-4dcd-922b-07523eae3657,12/28/2020 2:03:21,Information Technology and Services,United States,e7252828-f4c9-4111-9c95-eea581d1f1cc,2/14/2020 11:10:41,,google_organic,position_page
14,created,12/28/2020 2:04:42,d7048dd1-3cd1-4dcd-922b-07523eae3657,12/28/2020 2:03:21,Information Technology and Services,United States,e7252828-f4c9-4111-9c95-eea581d1f1cc,2/14/2020 11:10:41,,google_organic,position_page
15,updated,12/10/2020 9:38:50,375a1c68-0820-4976-b028-f628bbb01982,12/10/2020 9:32:56,Marketing and Advertising,,3002596f-b258-4ce6-b570-cabf4568ea94,12/10/2020 9:32:57,375a1c68-0820-4976-b028-f628bbb01982,google_organic,org_chart
16,created,12/10/2020 9:37:19,375a1c68-0820-4976-b028-f628bbb01982,12/10/2020 9:32:56,Marketing and Advertising,,3002596f-b258-4ce6-b570-cabf4568ea94,12/10/2020 9:32:57,375a1c68-0820-4976-b028-f628bbb01982,google_organic,org_chart
17,created,1/20/2021 15:36:38,e89158b0-1e15-4299-b3c5-ba3990eba8ac,1/20/2021 15:34:37,Information Technology and Services,United Kingdom,d635efc6-8763-4d12-9385-cbe404417db3,11/19/2020 17:22:48,30e9cd6f-1295-4218-a0c4-81dfb3c60a2e,linkedin_organic,org_chart
18,updated,1/20/2021 15:36:20,e89158b0-1e15-4299-b3c5-ba3990eba8ac,1/20/2021 15:34:37,Information Technology and Services,United Kingdom,d635efc6-8763-4d12-9385-cbe404417db3,11/19/2020 17:22:48,30e9cd6f-1295-4218-a0c4-81dfb3c60a2e,linkedin_organic,org_chart
19,created,1/20/2021 15:35:59,e89158b0-1e15-4299-b3c5-ba3990eba8ac,1/20/2021 15:34:37,Information Technology and Services,United Kingdom,d635efc6-8763-4d12-9385-cbe404417db3,11/19/2020 17:22:48,30e9cd6f-1295-4218-a0c4-81dfb3c60a2e,linkedin_organic,org_chart
20,deleted,1/20/2021 15:35:35,e89158b0-1e15-4299-b3c5-ba3990eba8ac,1/20/2021 15:34:37,Information Technology and Services,United Kingdom,d635efc6-8763-4d12-9385-cbe404417db3,11/19/2020 17:22:48,30e9cd6f-1295-4218-a0c4-81dfb3c60a2e,linkedin_organic,org_chart
21,created,12/28/2020 18:36:13,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
22,deleted,12/28/2020 18:35:36,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
23,created,12/28/2020 18:19:35,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
24,deleted,12/28/2020 18:09:20,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
25,created,12/28/2020 18:06:57,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
26,created,12/28/2020 18:01:59,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
27,created,12/28/2020 14:21:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
28,updated,12/28/2020 14:21:02,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
29,created,12/28/2020 14:20:40,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
30,created,12/28/2020 14:20:26,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
31,created,12/28/2020 11:58:56,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
32,created,12/28/2020 11:45:52,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
33,created,12/28/2020 11:31:40,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
34,created,12/28/2020 11:31:27,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
35,created,12/28/2020 11:30:50,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
36,created,12/28/2020 11:30:43,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
37,updated,12/28/2020 11:30:37,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
38,created,12/28/2020 11:30:31,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
39,created,12/28/2020 11:29:58,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
40,created,12/28/2020 11:29:42,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
41,created,12/28/2020 11:29:23,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
42,created,12/28/2020 11:29:01,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
43,created,12/28/2020 11:28:36,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
44,created,12/28/2020 11:28:23,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
45,created,12/28/2020 11:27:25,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
46,created,12/28/2020 11:27:14,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
47,created,12/28/2020 11:26:42,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
48,created,12/28/2020 11:31:57,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
49,created,12/28/2020 11:30:56,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
50,created,12/28/2020 11:30:20,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
51,created,12/28/2020 11:29:49,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
52,created,12/28/2020 11:28:49,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
53,created,12/28/2020 11:28:05,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
54,created,12/28/2020 11:27:57,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
55,created,12/28/2020 11:26:24,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
56,created,12/28/2020 11:25:38,75a8e34f-1b09-4398-85c1-cbfe120c86da,12/28/2020 11:10:46,Information Technology and Services,,70e124c4-7cf2-44d1-8573-3f1aab3f2e6d,12/28/2020 11:25:16,75a8e34f-1b09-4398-85c1-cbfe120c86da,google_organic,position_page
57,created,1/26/2021 18:06:48,7bfda1f5-76fe-4b66-893f-ac12ace7f78b,1/26/2021 18:01:56,Management Consulting,United States,1f1ab019-b20f-4414-8b3a-4e30ccd4cdb2,9/25/2018 21:44:36,,google_organic,position_page
58,created,1/20/2021 16:40:20,416facaa-fcbc-442c-805e-069617987a59,1/20/2021 16:39:33,,,bf921d7b-09a8-49eb-b672-d055b5bb1c2d,1/20/2021 16:39:56,416facaa-fcbc-442c-805e-069617987a59,direct,/
59,created,1/20/2021 16:40:20,416facaa-fcbc-442c-805e-069617987a59,1/20/2021 16:39:33,Education Management,Canada,94797e6c-d30a-41ea-a2e9-06d4a95b0c8c,2/14/2020 10:50:18,,direct,/
60,created,1/26/2021 18:12:44,204a5d38-e967-452b-a31c-4839607e3370,1/26/2021 18:11:55,Higher Education,United States,73525e1a-8e25-4d76-b766-fae0a8cc56a3,8/15/2018 19:23:47,,google_organic,position_page
61,created,1/13/2021 16:27:54,467d018f-949c-44a8-ab45-65d296b966aa,1/13/2021 16:25:58,Information Technology and Services,United States,ec11b198-d58e-4ae9-afca-387133b72e4b,5/14/2018 16:40:08,,google_organic,position_page
62,created,1/20/2021 17:22:54,fe1f9491-b3d9-43b7-9523-e9883cbfb60c,1/20/2021 17:21:44,Information Technology and Services,United States,e9a65e28-6b7d-4add-a545-d1c39b1c10b8,2/15/2019 23:24:45,828c10a0-c365-4ed0-9a9a-3015b02e9089,google_organic,position_page
63,created,1/20/2021 17:13:37,3a375217-4dc0-4a24-a11a-e5befe46009b,8/20/2020 15:19:10,Pharmaceuticals,,955283cf-05df-4ed0-9f8b-f7deff2486c4,8/20/2020 15:11:14,7a5da687-e665-4d7a-982b-c8731d86f00c,google_organic,org_chart
64,created,1/20/2021 17:12:12,3a375217-4dc0-4a24-a11a-e5befe46009b,8/20/2020 15:19:10,Pharmaceuticals,,955283cf-05df-4ed0-9f8b-f7deff2486c4,8/20/2020 15:11:14,7a5da687-e665-4d7a-982b-c8731d86f00c,google_organic,org_chart
65,created,1/20/2021 17:10:04,3a375217-4dc0-4a24-a11a-e5befe46009b,8/20/2020 15:19:10,Pharmaceuticals,,955283cf-05df-4ed0-9f8b-f7deff2486c4,8/20/2020 15:11:14,7a5da687-e665-4d7a-982b-c8731d86f00c,google_organic,org_chart
66,created,1/20/2021 17:14:07,3a375217-4dc0-4a24-a11a-e5befe46009b,8/20/2020 15:19:10,Pharmaceuticals,,955283cf-05df-4ed0-9f8b-f7deff2486c4,8/20/2020 15:11:14,7a5da687-e665-4d7a-982b-c8731d86f00c,google_organic,org_chart
67,created,1/20/2021 17:11:20,3a375217-4dc0-4a24-a11a-e5befe46009b,8/20/2020 15:19:10,Pharmaceuticals,,955283cf-05df-4ed0-9f8b-f7deff2486c4,8/20/2020 15:11:14,7a5da687-e665-4d7a-982b-c8731d86f00c,google_organic,org_chart
68,updated,1/9/2021 21:58:16,804fa046-c09a-4575-95c6-ac8724d205b0,7/19/2020 20:40:14,Medical Devices,United States,9c614f9f-c910-4cd4-8a91-9b19d54bdd65,6/13/2018 21:31:04,,google_organic,position_page
69,created,1/9/2021 21:56:36,804fa046-c09a-4575-95c6-ac8724d205b0,7/19/2020 20:40:14,Medical Devices,United States,9c614f9f-c910-4cd4-8a91-9b19d54bdd65,6/13/2018 21:31:04,,google_organic,position_page
70,updated,1/26/2021 14:58:08,4adaef34-9cf8-4fb4-8450-8acc07a1027e,1/20/2021 17:50:37,,Denmark,90f24579-c9ac-4765-b24a-5b5a9f30b8c4,11/5/2020 17:54:36,32c3bc44-6866-4602-b9a0-c7f367c0543f,direct,position_page
71,created,12/3/2020 0:09:11,11e86815-2e0b-462f-8246-38416144db94,12/3/2020 0:06:43,Computer & Network Security,United States,469f300c-1fbe-477a-9ac5-9fba261535fc,6/5/2019 22:13:55,5196ef1b-8176-48c2-aaa7-bbbc0fee2e47,google_organic,position_page
72,updated,1/19/2021 17:29:11,fb4eaf30-296e-4c9c-8e3b-c2864d4a7b51,1/19/2021 17:25:47,Information Technology and Services,United States,73355cda-d734-49c8-9318-452613ea70b9,1/19/2021 16:55:07,6c9f1ebf-cb82-4217-b700-b3d88095aeba,google_organic,position_page
73,updated,1/19/2021 17:33:07,fb4eaf30-296e-4c9c-8e3b-c2864d4a7b51,1/19/2021 17:25:47,Information Technology and Services,United States,73355cda-d734-49c8-9318-452613ea70b9,1/19/2021 16:55:07,6c9f1ebf-cb82-4217-b700-b3d88095aeba,google_organic,position_page
74,updated,1/19/2021 17:27:08,fb4eaf30-296e-4c9c-8e3b-c2864d4a7b51,1/19/2021 17:25:47,Information Technology and Services,United States,73355cda-d734-49c8-9318-452613ea70b9,1/19/2021 16:55:07,6c9f1ebf-cb82-4217-b700-b3d88095aeba,google_organic,position_page
75,created,1/26/2021 19:49:03,b03759f8-b711-4bdc-b75f-38fe7d3048d1,1/26/2021 19:47:36,Information Technology and Services,United States,e97e1c5d-fa21-4aa0-80f4-6294885cc240,6/7/2020 20:14:51,5ffc1a3c-0d4a-4657-9e03-dfaf35d4ff21,google_organic,position_page
76,created,12/14/2020 20:36:18,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
77,updated,12/14/2020 20:35:06,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
78,created,12/14/2020 20:34:37,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
79,created,12/14/2020 20:33:45,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
80,updated,12/14/2020 20:30:57,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
81,created,12/14/2020 20:29:59,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
82,created,12/14/2020 20:28:26,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
83,updated,12/14/2020 19:12:13,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
84,created,12/14/2020 19:10:57,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
85,updated,12/14/2020 19:10:27,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
86,updated,12/14/2020 19:09:51,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
87,created,12/14/2020 19:09:25,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
88,created,12/14/2020 19:08:15,139725b0-dc46-4101-98c0-1f5cb90411c0,12/14/2020 15:24:19,Computer Software,United States,945d2e89-e0bf-4937-9b36-2b984618876c,12/10/2020 16:23:21,32c3bc44-6866-4602-b9a0-c7f367c0543f,linkedin_organic,org_chart
89,created,1/20/2021 19:02:20,6e85a2a3-fd59-4bd3-8cb0-faba900d389a,1/20/2021 18:59:54,,,a4100752-d51e-4502-a6e4-63a11d354d67,1/20/2021 19:00:43,6e85a2a3-fd59-4bd3-8cb0-faba900d389a,direct,/
90,created,1/20/2021 19:09:41,8856dcf8-9822-43ca-931d-e7f67bcc225c,1/20/2021 19:05:54,Information Technology and Services,,34473e42-5611-49d6-bde4-aaa3440582f5,1/20/2021 19:05:55,8856dcf8-9822-43ca-931d-e7f67bcc225c,google_organic,org_chart
91,created,1/12/2021 3:06:03,db434ed6-40bc-49d0-840b-29b05979b274,1/12/2021 3:05:33,Information Technology and Services,United States,ccd68b29-9737-46b9-81c1-ce10df357954,1/23/2019 21:08:21,5196ef1b-8176-48c2-aaa7-bbbc0fee2e47,google_organic,org_chart
92,created,12/14/2020 16:15:34,91271930-8d77-43dc-b263-9fc6480e0bdc,12/14/2020 16:13:53,Investment Management,,ba6789d8-32f3-4faa-8ebe-978e7a372d0d,12/14/2020 16:15:01,91271930-8d77-43dc-b263-9fc6480e0bdc,google_organic,org_chart
93,created,12/3/2020 9:03:26,1c791157-68e7-4368-a244-5519ef32350f,12/3/2020 9:01:12,Staffing and Recruiting,Switzerland,1086fd9a-165a-471a-8fda-390997ffafae,11/28/2018 4:15:29,,google_organic,position_page
94,updated,12/3/2020 8:18:23,29f033fb-2530-43b1-a877-9c56db02ac9c,12/3/2020 8:17:05,Information Technology and Services,United Kingdom,b349c72f-c6c9-4b04-b1d4-ef3ac7095363,5/1/2019 12:17:16,,google_organic,org_chart
95,created,12/21/2020 22:51:22,6264f0d0-69d8-4c66-a412-a45865d54f44,12/21/2020 22:48:53,Information Technology and Services,,f8c53c63-45aa-4a16-90a4-bd5d6ae0b7e9,12/21/2020 22:48:55,6264f0d0-69d8-4c66-a412-a45865d54f44,direct,/
96,created,1/20/2021 20:09:04,caf78467-9723-4faf-a4a5-a0143367bd32,1/20/2021 20:03:36,,Mexico,dad45716-32f0-408a-8589-6ce8649f75a0,1/20/2021 20:03:37,caf78467-9723-4faf-a4a5-a0143367bd32,google_organic,org_chart
97,created,1/20/2021 20:09:34,caf78467-9723-4faf-a4a5-a0143367bd32,1/20/2021 20:03:36,,Mexico,dad45716-32f0-408a-8589-6ce8649f75a0,1/20/2021 20:03:37,caf78467-9723-4faf-a4a5-a0143367bd32,google_organic,org_chart
