salary,age,college,grad,comten,ceoten,profits,mktval
1170,57,1,1,9,3,208,5600
1550,47,1,1,19,3,120,4900
470,60,1,1,20,6,210,2200
1700,54,1,1,21,5,1200,20400
650,55,1,1,28,5,-438,817
1095,60,1,1,33,5,1400,17100
465,64,1,1,31,3,326,2400
1248,48,1,1,21,7,423,7300
677,31,1,1,3,1,-1,-1
650,69,1,0,37,13,40,817
401,64,1,0,44,8,57,670
375,46,1,1,4,4,20,501
471,60,1,0,3,2,7,425
1067,64,1,1,7,7,614,3900
1738,54,0,0,34,12,842,15400
449,56,1,0,31,1,37,538
1133,63,1,0,9,9,37,686
1340,55,1,0,13,10,131,2900
600,43,1,1,10,10,48,1100
377,45,1,0,7,5,57,1200
1373,57,1,0,36,8,1600,23600
609,58,1,0,36,1,69,880
1261,63,1,1,32,8,191,2100
834,58,1,0,35,1,63,890
1253,60,1,1,36,5,142,3700
637,45,1,1,3,1,-1,-1
1119,61,1,0,34,9,71,1200
396,80,1,0,58,28,53,963
425,86,1,1,13,13,11,644
1100,65,1,0,18,6,-271,544
733,60,1,0,8,8,18,778
481,59,1,1,26,4,90,667
817,68,1,0,38,4,55,847
1392,48,1,1,6,6,51,1100
393,58,1,1,36,6,40,956
630,56,1,0,29,1,-55,420
308,45,1,1,14,14,39,1900
447,53,1,0,4,1,16,527
129,66,1,1,4,4,28,412
950,63,1,0,27,14,6,1500
577,64,1,0,26,2,287,5700
462,58,1,1,23,0,50,769
552,52,1,0,30,1,308,3500
503,47,1,1,4,4,7,454
609,53,1,1,15,15,34,498
1099,59,1,0,34,10,182,1800
1064,58,1,0,27,3,195,2600
873,61,1,1,3,1,-1,-1
537,46,1,1,20,20,17,669
493,55,1,1,4,1,80,834
345,54,1,1,33,0,56,781
173,55,1,1,3,1,-1,-1
474,40,1,0,18,1,117,2000
310,40,1,0,18,1,60,1300
445,69,1,0,23,0,31,828
270,43,1,0,15,2,28,713
218,57,1,1,33,5,41,421
369,49,1,1,4,1,-132,1200
358,50,1,1,23,4,25,2300
1295,62,1,0,8,8,1300,16400
1750,66,1,1,31,24,1400,17900
559,54,1,0,22,2,13,686
1107,57,1,0,17,6,149,1100
2265,63,1,1,35,6,1700,18800
2199,52,1,1,8,8,475,6300
984,60,1,0,7,4,135,1700
1268,47,1,0,20,4,47,2500
729,50,1,1,15,3,182,2600
679,62,1,0,40,6,-463,1400
323,39,1,1,15,3,63,517
1161,49,1,1,9,2,966,23200
707,46,1,1,6,1,26,1200
1350,68,1,1,5,5,92,2100
999,52,1,0,28,17,21,398
559,57,1,1,34,16,56,653
625,57,0,0,36,9,87,979
713,57,1,1,12,2,55,1300
